LC	quant	sample	hit	total	p_value	p_adj	log_odds
Metabolism#Carbon metabolism#Utilization of specific carbon sources	137	1847	240	8186	8.270911865866414e-32	1.4294892674839116e-29	2.28
Metabolism#Nucleotide metabolism#Utilization of nucleotides	15	1847	21	8186	2.529652167308961e-06	6.558123243748482e-05	3.11
Groups of genes#Universally conserved proteins	16	1847	28	8186	7.72479823263856e-05	0.0014834473643048492	2.20
Metabolism#Lipid metabolism#Utilization of lipids	17	1847	32	8186	0.00015736187451824	0.0025497541230533574	1.97
Metabolism#Additional metabolic pathways#Iron metabolism	24	1847	53	8186	0.0002009796310291835	0.0031578163238979284	1.52
Metabolism#Amino acid/ nitrogen metabolism#Utilization of nitrogen sources other than amino acids	23	1847	54	8186	0.0007931428735543652	0.011266974792820229	1.36
Cellular processes#Transporters#ABC transporters	63	1847	196	8186	0.0011448008985109396	0.01502732318678284	0.72
Lifestyles#Coping with stress#Cell envelope stress proteins (controlled by SigM, V, W, X, Y)	45	1847	131	8186	0.0012760005114922173	0.016335957165647275	0.86
Cellular processes#Homeostasis#Acquisition of iron	19	1847	44	8186	0.0018254888668135982	0.02201199947541513	1.39
Metabolism#Carbon metabolism#Carbon core metabolism	20	1847	53	8186	0.008859864736369252	0.08058352507067351	1.06
Cellular processes#Homeostasis#Metal ion homeostasis (K, Na, Ca, Mg)	14	1847	34	8186	0.011555997435807428	0.09664168823332503	1.27
Groups of genes#Essential genes	73	1847	257	8186	0.015511838473740481	0.1237367422866837	0.46
Information processing#Genetics#DNA repair/ recombination	24	1847	71	8186	0.01965524917615523	0.14455669074945368	0.82
Lifestyles#Coping with stress#Resistance against toxins/ antibiotics	20	1847	58	8186	0.02539726956919684	0.1791630513146743	0.86
Lifestyles#Coping with stress#Biosynthesis of antibacterial compounds	18	1847	51	8186	0.026046161460846765	0.18249911780336553	0.91
Groups of genes#Efp-dependent proteins	13	1847	34	8186	0.028406979898531547	0.19770495405890748	1.09
Groups of genes#Short peptides	5	1847	9	8186	0.032252255580479436	0.2200367699799814	2.10
Groups of genes#Phosphoproteins#Phosphorylation on a Cys residue	7	1847	15	8186	0.033815710925868415	0.22919537405310816	1.59
Metabolism#Additional metabolic pathways#Biosynthesis of cofactors	35	1847	116	8186	0.03426974860281788	0.2307644759813126	0.58
Groups of genes#Phosphoproteins#Phosphorylation on an Arg residue	34	1847	113	8186	0.037955739263922955	0.24600063510430065	0.57
Metabolism#Amino acid/ nitrogen metabolism#Utilization of amino acids	24	1847	75	8186	0.037686241133998113	0.24600063510430065	0.70
Cellular processes#Transporters#Phosphotransferase system	10	1847	26	8186	0.049628407190626674	0.3027332838628227	1.11
Groups of genes#Phosphoproteins#Phosphorylation on a Tyr residue	8	1847	20	8186	0.060928252953375193	0.3569638322748592	1.20
Metabolism#Additional metabolic pathways#Miscellaneous metabolic pathways	23	1847	77	8186	0.08308526133729721	0.4549709963158365	0.55
Metabolism#Electron transport and ATP synthesis#Electron transport/ other	7	1847	18	8186	0.08923694290121793	0.4794751802516217	1.13
Information processing#Regulation of gene expression#Quorum sensing	8	1847	22	8186	0.10138672440539911	0.5283318251678336	0.97
Groups of genes#Phosphoproteins#Phosphorylation on a His residue	17	1847	56	8186	0.109772849940379	0.5607608147200641	0.59
Cellular processes#Transporters#Transporters/ other	46	1847	174	8186	0.12716797719016282	0.61622987077663	0.31
Information processing#Protein synthesis, modification and degradation#Translation	54	1847	207	8186	0.12702958116840338	0.61622987077663	0.28
Information processing#Protein synthesis, modification and degradation#Chaperone/ protein folding/ based on similarity	2	1847	3	8186	0.1297174756147325	0.6256605684301285	2.78
Lifestyles#Exponential and early post-exponential lifestyles#Swarming	6	1847	16	8186	0.13057097733555023	0.6268615902637296	1.04
Lifestyles#Coping with stress#Resistance against toxic metals/ based on similarity	3	1847	6	8186	0.13275972710891876	0.6288112987356316	1.78
Groups of genes#Phosphoproteins#Phosphorylation on a Ser residue	19	1847	67	8186	0.1600678449748622	0.6787378694735493	0.45
Groups of genes#Secreted proteins	31	1847	116	8186	0.16608072774572208	0.6794708822156731	0.33
Information processing#Genetics#DNA condensation/ segregation	6	1847	17	8186	0.16516587443519065	0.6794708822156731	0.91
Lifestyles#Coping with stress#Resistance against oxidative and electrophile stress	27	1847	100	8186	0.1709570800668202	0.6794708822156731	0.35
Groups of genes#Phosphoproteins#Phosphorylation on either a Ser, Thr or Tyr residue	12	1847	40	8186	0.17265040235487633	0.6833529284046059	0.56
Metabolism#Electron transport and ATP synthesis#Respiration	11	1847	37	8186	0.19522084603683115	0.7239035399802621	0.54
Information processing#Genetics#Genetic competence	16	1847	57	8186	0.19821473596444114	0.7246433019665001	0.42
Lifestyles#Exponential and early post-exponential lifestyles#Genetic competence	16	1847	57	8186	0.19821473596444114	0.7246433019665001	0.42
Cellular processes#Cell envelope and cell division#Cell division/ based on similarity	1	1847	1	8186	0.22562912289144962	0.7671390178309287	nan
Groups of genes#NcRNA#Antisense RNAs of toxin/antitoxin systems	1	1847	1	8186	0.22562912289144962	0.7671390178309287	nan
Lifestyles#Sporulation#Sporulation/ other	6	1847	19	8186	0.24384853831551045	0.7941933235457441	0.67
Groups of genes#Membrane proteins	252	1847	1076	8186	0.24653434117123157	0.7989253493580223	0.08
Information processing#Regulation of gene expression#phosphorelay	12	1847	44	8186	0.2774943814399317	0.864149169829457	0.37
Lifestyles#Sporulation#phosphorelay	12	1847	44	8186	0.2774943814399317	0.864149169829457	0.37
Lifestyles#Coping with stress#Resistance against toxins/ antibiotics/ based on similarity	11	1847	42	8186	0.3419794725492937	0.9808185789541924	0.29
Cellular processes#Cell envelope and cell division#Capsule biosynthesis and degradation	2	1847	10	8186	0.696721342084409	1.0	-0.22
Cellular processes#Cell envelope and cell division#Cell division	6	1847	37	8186	0.8720008596976649	1.0	-0.59
Cellular processes#Cell envelope and cell division#Cell wall degradation/ turnover	8	1847	39	8186	0.6812173016775186	1.0	-0.18
Cellular processes#Cell envelope and cell division#Cell wall synthesis	10	1847	97	8186	0.9994871442291565	1.0	-1.35
Cellular processes#Cell envelope and cell division#Cell wall/ other	5	1847	21	8186	0.5300492409644335	1.0	0.10
Cellular processes#Cell envelope and cell division#Membrane dynamics	2	1847	6	8186	0.4074398605885976	1.0	0.78
