LC	quant	sample	hit	total	p_value	p_adj	log_odds
Metabolism#Carbon metabolism#Utilization of specific carbon sources	137	1847	240	8186	8.270911865866414e-32	1.4294892674839116e-29	2.28
Metabolism#Nucleotide metabolism#Utilization of nucleotides	15	1847	21	8186	2.529652167308961e-06	6.558123243748482e-05	3.11
Groups of genes#Universally conserved proteins	16	1847	28	8186	7.72479823263856e-05	0.0014834473643048492	2.20
Metabolism#Lipid metabolism#Utilization of lipids	17	1847	32	8186	0.00015736187451824	0.0025497541230533574	1.97
Metabolism#Additional metabolic pathways#Iron metabolism	24	1847	53	8186	0.0002009796310291835	0.0031578163238979284	1.52
Metabolism#Amino acid/ nitrogen metabolism#Utilization of nitrogen sources other than amino acids	23	1847	54	8186	0.0007931428735543652	0.011266974792820229	1.36
Cellular processes#Transporters#ABC transporters	63	1847	196	8186	0.0011448008985109396	0.01502732318678284	0.72
Lifestyles#Coping with stress#Cell envelope stress proteins (controlled by SigM, V, W, X, Y)	45	1847	131	8186	0.0012760005114922173	0.016335957165647275	0.86
Cellular processes#Homeostasis#Acquisition of iron	19	1847	44	8186	0.0018254888668135982	0.02201199947541513	1.39

6H	quant	sample	hit	total	p_value	p_adj	log_odds
Lifestyles#Exponential and early post-exponential lifestyles#Motility and chemotaxis	62	1786	76	8186	1.1319914592713156e-28	1.3043057147381714e-26	4.04
Information processing#Protein synthesis, modification and degradation#Translation	105	1786	207	8186	1.9151827305270042e-20	1.4186032082546452e-18	1.95
Metabolism#Amino acid/ nitrogen metabolism#Biosynthesis/ acquisition of amino acids	79	1786	158	8186	3.2461847554954726e-15	1.8701631063604473e-13	1.89
Metabolism#Nucleotide metabolism#Biosynthesis/ acquisition of nucleotides	42	1786	65	8186	1.1966386163057527e-13	6.531127605837186e-12	2.74
Prophages and mobile genetic elements#Prophages#PBSX prophage	29	1786	41	8186	2.691896995373055e-11	1.3292843734294563e-09	3.14
Groups of genes#Essential genes	101	1786	257	8186	8.9725949152873e-11	4.045469968327361e-09	1.26
Lifestyles#Exponential and early post-exponential lifestyles#Biofilm formation	34	1786	70	8186	6.289119112719227e-07	1.8116156999693998e-05	1.78
Lifestyles#Exponential and early post-exponential lifestyles#Swarming	12	1786	16	8186	8.428696375851341e-06	0.0002081085271847105	3.44
Groups of genes#Universally conserved proteins	16	1786	28	8186	5.001826725995506e-05	0.001037378862971468	2.27
Information processing#Protein synthesis, modification and degradation#Chaperones/ protein folding	9	1786	12	8186	0.00012648690344527842	0.002186115314545895	3.43
Metabolism#Detoxification reactions	8	1786	12	8186	0.001067928934406733	0.014372562213919393	2.85
Lifestyles#Coping with stress#Biosynthesis of antibacterial compounds	21	1786	51	8186	0.0014113460262066733	0.01784836377044293	1.34

12H	quant	sample	hit	total	p_value	p_adj	log_odds
Lifestyles#Exponential and early post-exponential lifestyles#Motility and chemotaxis	53	1129	76	8186	5.974679844217634e-29	7.744678748067108e-27	3.91
Prophages and mobile genetic elements#Prophages#PBSX prophage	33	1129	41	8186	8.413967449226576e-22	7.639411211365545e-20	4.73
Metabolism#Additional metabolic pathways#Sulfur metabolism	21	1129	30	8186	2.9904310994610293e-12	1.5505385250705437e-10	3.89
Lifestyles#Exponential and early post-exponential lifestyles#Biofilm formation	30	1129	70	8186	2.300496206481528e-09	8.835609504153128e-08	2.26
Metabolism#Amino acid/ nitrogen metabolism#Biosynthesis/ acquisition of amino acids	49	1129	158	8186	1.4330445552239068e-08	4.793765173442553e-07	1.53
Groups of genes#Secreted proteins	38	1129	116	8186	1.2377642608718533e-07	4.01112980788785e-06	1.64
Metabolism#Nucleotide metabolism#Biosynthesis/ acquisition of nucleotides	21	1129	65	8186	0.00010234117353244857	0.0018115948833913548	1.59
Cellular processes#Homeostasis#Acquisition of iron	16	1129	44	8186	0.0001434195131034028	0.0024381317227578476	1.85
Metabolism#Carbon metabolism#Carbon core metabolism	18	1129	53	8186	0.0001547623226673256	0.0025497541230533574	1.70
Groups of genes#Phosphoproteins#Phosphorylation on either a Ser, Thr or Tyr residue	13	1129	40	8186	0.001978378870972843	0.023581366542515383	1.60
Metabolism#Detoxification reactions	6	1129	12	8186	0.0029826249370340932	0.033257871609724245	2.65
Metabolism#Additional metabolic pathways#Iron metabolism	15	1129	53	8186	0.004214762477702243	0.04459906825895128	1.31

1D	quant	sample	hit	total	p_value	p_adj	log_odds
Lifestyles#Exponential and early post-exponential lifestyles#Motility and chemotaxis	50	1101	76	8186	4.641934574402057e-26	4.813686153654933e-24	3.69
Lifestyles#Exponential and early post-exponential lifestyles#Biofilm formation	32	1101	70	8186	4.4146347042893375e-11	2.0808982674309285e-09	2.47
Metabolism#Additional metabolic pathways#Sulfur metabolism	19	1101	30	8186	3.0376290016837844e-10	1.3125088644775351e-08	3.50
Cellular processes#Homeostasis#Acquisition of iron	23	1101	44	8186	8.813265773493291e-10	3.515137156581747e-08	2.84
Metabolism#Additional metabolic pathways#Iron metabolism	22	1101	53	8186	4.012614582766687e-07	1.2609337340391072e-05	2.21
Metabolism#Nucleotide metabolism#Biosynthesis/ acquisition of nucleotides	22	1101	65	8186	2.1114441063861783e-05	0.0004561599038171806	1.74
Metabolism#Nucleotide metabolism#Utilization of nucleotides	11	1101	21	8186	2.4031345557876402e-05	0.0005085817417044455	2.84
Metabolism#Amino acid/ nitrogen metabolism#Biosynthesis/ acquisition of amino acids	38	1101	158	8186	0.00019691151392526026	0.003141495999084537	1.05
no_annotation	36	1101	151	8186	0.00034427195890078196	0.005250147373236925	1.03
Groups of genes#Secreted proteins	29	1101	116	8186	0.000554094553542166	0.0080929021411722	1.12
Cellular processes#Transporters#ABC transporters	42	1101	196	8186	0.001237106674447245	0.01603599526752241	0.84
Metabolism#Detoxification reactions	6	1101	12	8186	0.0026153169464577077	0.029479170363876553	2.69
Prophages and mobile genetic elements#Prophages#SP-beta prophage	38	1101	181	8186	0.003015296011367865	0.033264488976473154	0.80
Information processing#RNA synthesis and degradation#RNA chaperones	4	1101	6	8186	0.003895909219696488	0.0420839360502631	3.69

2D	quant	sample	hit	total	p_value	p_adj	log_odds
Lifestyles#Sporulation#Sporulation proteins	258	1199	541	8186	8.892994578823798e-82	2.3055088445600697e-79	2.70
