B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B3	B32	B33	B34	B4	B5	B6	B7	B8	B9
B4U62_00005	8034	6191	5706	5502	4607	4255	3453	3530	3094	4849	2851	8148	1693	2099	3472	103	115	285	1026	1079	107	6718	411	341	556	2936	3195	3052	5113	3284	5305
B4U62_00010	6087	3826	3153	3263	3134	2261	2082	1747	1504	2433	1402	5814	893	1288	1813	92	96	392	817	948	64	5167	1139	834	1183	1998	2094	1876	3393	2239	3520
B4U62_00015	1426	851	769	863	480	470	444	523	378	677	418	1520	245	383	500	29	24	58	184	186	16	1178	60	47	92	480	641	700	1098	587	1024
B4U62_00020	11470	9966	9320	8975	8321	6903	5792	8400	6420	10409	9224	13952	6075	6861	8927	1193	1378	2259	7302	5507	452	10174	9702	8075	10881	4780	5394	5465	8924	5878	9823
B4U62_00025	1012	1064	923	858	827	789	574	963	755	1130	852	1111	458	539	1071	35	29	169	703	515	24	887	1131	1038	1334	357	498	454	840	608	917
B4U62_00030	19024	18427	16073	15744	15273	12184	10103	14982	10613	17542	15279	21572	9666	11888	16134	1435	1521	3805	10830	8230	672	16952	27234	21368	31936	10629	11076	10493	15040	9551	16069
B4U62_00035	33125	29104	27290	25790	22975	17117	14457	22437	15652	26587	18292	37491	11570	15236	22022	1208	1363	3901	11638	9740	998	29462	25379	18943	29173	16291	18050	17834	30172	19423	30294
B4U62_00040	10184	9250	45825	5839	217194	14976	11127	5275	4471	15974	34728	12381	238649	169986	37270	1773777	1276473	167591	134091	75175	634243	7182	147008	110062	82882	18603	32730	22328	11186	22097	24114
B4U62_00045	15	2	7	5	0	1	5	0	1	2	3	7	3	2	3	28	10	2	3	1	1	11	2	3	5	2	6	20	3	3	3
B4U62_00050	185	60	93	88	18	8	16	16	18	21	9	126	16	21	25	11	21	17	23	37	2	169	2	1	3	114	132	154	47	35	55
B4U62_00055	17829	30163	177002	21994	527090	32086	25632	12792	11053	43828	86347	29151	507627	394894	94049	3341826	2473411	480956	378811	278177	1480928	18124	265137	209089	150507	77162	89850	52257	26374	52582	58144
B4U62_00060	8	3	10	5	82	34	33	4	3	6	80	13	626	479	15	7574	4362	129	383	196	3317	9	90	289	86	19	9	8	9	14	14
B4U62_00065	175	372	357	320	692	865	685	440	507	671	353	210	384	401	1064	47	12	135	228	863	61	152	96	123	236	32	89	56	215	124	161
B4U62_00070	14816	13535	10787	11121	9652	7547	6726	6181	5445	8478	11931	16171	6645	8211	7171	1194	1282	2300	4029	5166	248	14019	31666	20843	32649	15622	13293	12600	12160	7737	12434
B4U62_00075	17941	9470	8273	8366	5404	4401	3628	4275	3326	5567	3180	20919	2029	2947	3746	152	152	700	1527	2436	181	16225	1501	1185	1692	4699	6513	6410	10645	7298	11727
B4U62_00080	24640	14820	12208	12181	7631	6063	5381	6488	5273	8312	5912	30047	2968	3912	5535	382	473	1081	2919	2610	169	22576	1033	929	1189	10542	10604	10211	20140	12702	21554
B4U62_00085	21564	11445	9184	9173	6080	4223	3969	4738	3632	6164	3991	25882	2013	2850	3143	182	255	662	2030	1880	128	19395	1270	1193	1478	9902	9185	10016	16327	10544	17668
B4U62_00090	10260	5307	4437	4284	3480	2558	2408	2830	2091	3439	2457	11858	1440	1947	2051	121	166	606	1133	1076	130	9728	5470	3928	6875	8600	7361	6471	6241	4347	6828
B4U62_00095	10139	4737	6137	6186	1521	1117	1296	1027	999	1155	484	6645	153	359	294	440	696	3350	2730	2328	1298	7761	41	36	46	12128	26871	32556	10513	8039	9278
B4U62_00100	2783	2061	1799	1751	1525	1258	1043	1528	1190	1990	1268	3089	697	821	1432	28	31	101	440	389	31	2590	75	69	118	872	1278	1033	2433	1495	2374
B4U62_00105	2241	1888	1598	1604	1252	1114	968	1453	1124	1806	1130	2514	658	909	1407	35	29	119	486	365	25	2097	36	42	85	803	1102	1035	2050	1402	2162
B4U62_00110	196	8151	8249	7699	18225	20141	14928	15856	14751	22193	18158	141	13037	12815	27149	1789	1756	2643	3458	6441	304	99	932	939	1124	179	124	132	99	84	108
B4U62_00115	294	1610	1702	1151	2147	2918	2325	1476	1698	2409	1358	239	1492	1565	5042	245	192	1847	2061	5305	533	190	775	719	743	196	170	124	123	89	132
B4U62_00120	958	964	875	876	675	677	529	567	461	806	666	1216	435	397	555	77	78	96	217	310	18	825	61	61	80	290	374	386	755	448	849
B4U62_00125	40414	534773	745739	726789	592084	308289	411334	186653	158708	254212	275826	80302	260840	388231	220567	5712890	6818971	1951077	1117782	954418	447686	52709	479727	222781	382756	116735	122138	206579	417436	405350	299382
B4U62_00130	5134	4246	4031	3903	4153	3865	2975	3494	2870	4608	3112	6249	2057	2469	4647	370	374	614	1848	1522	107	4716	762	634	951	1970	2691	2448	4052	2671	3947
