protein_id	locus_tag	gene_length
AQZ88914.1	B4U62_00005	1341
AQZ88915.1	B4U62_00010	1137
AQZ88916.1	B4U62_00015	216
AQZ88917.1	B4U62_00020	1113
AQZ88918.1	B4U62_00025	246
AQZ88919.1	B4U62_00030	1917
AQZ88920.1	B4U62_00035	2466
AQZ88921.1	B4U62_00065	948
AQZ88922.1	B4U62_00070	1467
AQZ88923.1	B4U62_00075	1332
AQZ88924.1	B4U62_00080	885
AQZ88925.1	B4U62_00085	591
AQZ88926.1	B4U62_00090	1278
AQZ88927.1	B4U62_00100	654
AQZ88928.1	B4U62_00105	624
AQZ88929.1	B4U62_00110	1284
AQZ88930.1	B4U62_00115	546
AQZ88931.1	B4U62_00120	486
AQZ88932.1	B4U62_00130	1692
AQZ88933.1	B4U62_00135	324
AQZ88934.1	B4U62_00140	597
AQZ88935.1	B4U62_00145	225
AQZ88936.1	B4U62_00150	264
AQZ88937.1	B4U62_00180	195
AQZ88938.1	B4U62_00185	615
AQZ88939.1	B4U62_00190	1161
AQZ88940.1	B4U62_00195	1443
AQZ88941.1	B4U62_00200	639
AQZ88942.1	B4U62_00205	330
AQZ88943.1	B4U62_00210	441
AQZ88944.1	B4U62_00215	990
AQZ88945.1	B4U62_00220	828
AQZ88946.1	B4U62_00225	360
AQZ88947.1	B4U62_00230	744
AQZ88948.1	B4U62_00235	300
AQZ88949.1	B4U62_00240	879
AQZ88950.1	B4U62_00245	291
AQZ88951.1	B4U62_00250	1995
AQZ88952.1	B4U62_00255	768
AQZ88953.1	B4U62_00260	1314
AQZ88954.1	B4U62_00265	561
AQZ88955.1	B4U62_00270	879
AQZ88956.1	B4U62_00275	873
AQZ88957.1	B4U62_00280	261
AQZ88958.1	B4U62_00285	186
AQZ88959.1	B4U62_00290	870
AQZ88960.1	B4U62_00295	858
AQZ88961.1	B4U62_00300	378
AQZ88962.1	B4U62_00305	294
AQZ88963.1	B4U62_00310	1371
AQZ88964.1	B4U62_00315	954
AQZ88965.1	B4U62_00320	615
AQZ88966.1	B4U62_00325	567
AQZ88967.1	B4U62_00330	231
AQZ88968.1	B4U62_00335	3534
AQZ88969.1	B4U62_00340	537
AQZ88970.1	B4U62_00345	1599
AQZ88971.1	B4U62_00350	1470
AQZ88972.1	B4U62_00355	261
AQZ88973.1	B4U62_00360	303
AQZ88974.1	B4U62_00365	636
AQZ88975.1	B4U62_00370	378
AQZ88976.1	B4U62_00375	387
AQZ88977.1	B4U62_00390	2484
AQZ88978.1	B4U62_00395	738
AQZ88979.1	B4U62_00400	1017
AQZ88980.1	B4U62_00405	1419
AQZ88981.1	B4U62_00410	543
AQZ88982.1	B4U62_00415	1914
AQZ88983.1	B4U62_00420	777
AQZ88984.1	B4U62_00425	876
AQZ88985.1	B4U62_00430	894
AQZ88986.1	B4U62_00435	927
AQZ88987.1	B4U62_00440	1413
AQZ88988.1	B4U62_00445	585
AQZ88989.1	B4U62_00450	882
AQZ88990.1	B4U62_00455	858
AQZ88991.1	B4U62_00460	363
AQZ88992.1	B4U62_00465	504
AQZ88993.1	B4U62_00470	210
AQZ88994.1	B4U62_00475	1002
AQZ88995.1	B4U62_00480	1500
AQZ88996.1	B4U62_00560	465
AQZ88997.1	B4U62_00565	558
AQZ88998.1	B4U62_00570	1092
AQZ88999.1	B4U62_00575	2433
AQZ89000.1	B4U62_00580	1377
AQZ89001.1	B4U62_00585	1083
AQZ89002.1	B4U62_00590	1101
AQZ89003.1	B4U62_00595	699
AQZ89004.1	B4U62_00600	477
AQZ89005.1	B4U62_00605	1452
AQZ89006.1	B4U62_00610	186
AQZ89007.1	B4U62_00620	1401
AQZ89008.1	B4U62_00625	432
AQZ89009.1	B4U62_00630	750
AQZ89010.1	B4U62_00635	513
AQZ89011.1	B4U62_00640	657
AQZ89012.1	B4U62_00645	150
AQZ89013.1	B4U62_00650	180
AQZ89014.1	B4U62_00655	534
AQZ89015.1	B4U62_00660	426
AQZ89016.1	B4U62_00665	699
AQZ89017.1	B4U62_00670	501
AQZ89018.1	B4U62_00675	372
AQZ89019.1	B4U62_00680	606
AQZ89020.1	B4U62_00685	3582
AQZ89021.1	B4U62_00690	3600
AQZ89022.1	B4U62_00695	249
AQZ89023.1	B4U62_00700	417
AQZ89024.1	B4U62_00705	471
AQZ89025.1	B4U62_00710	2079
AQZ89026.1	B4U62_00715	1191
AQZ89027.1	B4U62_00720	957
AQZ89028.1	B4U62_00725	309
AQZ89029.1	B4U62_00730	630
AQZ89030.1	B4U62_00735	624
AQZ89031.1	B4U62_00740	288
AQZ89032.1	B4U62_00745	834
AQZ89033.1	B4U62_00750	279
AQZ89034.1	B4U62_00755	342
AQZ89035.1	B4U62_00760	657
AQZ89036.1	B4U62_00765	435
AQZ89037.1	B4U62_00770	201
AQZ89038.1	B4U62_00775	264
AQZ89039.1	B4U62_00780	369
AQZ89040.1	B4U62_00785	312
AQZ89041.1	B4U62_00790	540
AQZ89042.1	B4U62_00795	186
AQZ89043.1	B4U62_00800	399
AQZ89044.1	B4U62_00805	540
AQZ89045.1	B4U62_00810	363
AQZ92990.1	B4U62_00815	501
AQZ89046.1	B4U62_00820	180
AQZ89047.1	B4U62_00825	441
AQZ89048.1	B4U62_00830	1296
AQZ89049.1	B4U62_00835	654
AQZ89050.1	B4U62_00840	747
AQZ89051.1	B4U62_00845	225
AQZ89052.1	B4U62_00850	219
AQZ89053.1	B4U62_00855	114
AQZ89054.1	B4U62_00860	366
AQZ89055.1	B4U62_00865	396
AQZ89056.1	B4U62_00870	945
AQZ89057.1	B4U62_00875	363
AQZ89058.1	B4U62_00880	846
AQZ89059.2	B4U62_00885	831
AQZ89060.1	B4U62_00890	798
AQZ89061.1	B4U62_00895	744
AQZ89062.1	B4U62_00900	438
AQZ89063.1	B4U62_00905	393
AQZ89064.1	B4U62_00910	768
AQZ89065.1	B4U62_00915	444
AQZ89066.1	B4U62_00920	714
AQZ89067.1	B4U62_00925	1059
AQZ89068.1	B4U62_00930	558
AQZ89069.1	B4U62_00935	597
AQZ89070.1	B4U62_00940	765
AQZ89071.1	B4U62_01020	237
AQZ89072.1	B4U62_01025	1437
AQZ89073.1	B4U62_01030	921
AQZ89074.1	B4U62_01035	753
AQZ89075.1	B4U62_01040	1011
AQZ89076.1	B4U62_01045	1005
AQZ89077.1	B4U62_01050	954
AQZ89078.1	B4U62_01055	1590
AQZ89079.1	B4U62_01060	1245
AQZ89080.1	B4U62_01065	1929
AQZ89081.1	B4U62_01070	1326
AQZ89082.1	B4U62_01075	1368
AQZ89083.1	B4U62_01080	852
AQZ89084.1	B4U62_01085	915
AQZ89085.1	B4U62_01090	483
AQZ89086.1	B4U62_01095	456
AQZ89087.1	B4U62_01125	564
AQZ89088.1	B4U62_01130	627
AQZ89089.1	B4U62_01135	822
AQZ89090.1	B4U62_01140	1452
AQZ89091.1	B4U62_01145	1347
AQZ89092.1	B4U62_01150	1803
AQZ89093.1	B4U62_01155	912
AQZ89094.1	B4U62_01160	636
AQZ89095.1	B4U62_01165	540
AQZ89096.1	B4U62_01170	1518
AQZ89097.1	B4U62_01175	2616
AQZ89098.1	B4U62_01180	528
AQZ89099.1	B4U62_01185	291
AQZ89100.1	B4U62_01190	375
AQZ89101.1	B4U62_01195	303
AQZ89102.1	B4U62_01200	1173
AQZ89103.1	B4U62_01205	315
AQZ89104.1	B4U62_01210	168
AQZ89105.1	B4U62_01215	1233
AQZ89106.1	B4U62_01220	1491
AQZ89107.1	B4U62_01225	720
AQZ89108.2	B4U62_01230	1344
AQZ89109.1	B4U62_01235	516
AQZ89110.1	B4U62_01240	426
AQZ89111.1	B4U62_01245	978
AQZ89112.1	B4U62_01250	672
AQZ92991.1	B4U62_01255	963
AQZ89113.1	B4U62_01260	264
AQZ89114.1	B4U62_01265	771
AQZ89115.1	B4U62_01270	858
AQZ89116.1	B4U62_01275	1185
AQZ89117.1	B4U62_01280	1389
AQZ89118.1	B4U62_01285	249
AQZ89119.1	B4U62_01290	192
AQZ89120.1	B4U62_01295	804
AQZ89121.1	B4U62_01300	1254
AQZ89122.1	B4U62_01305	261
AQZ92992.1	B4U62_01310	1620
AQZ89123.1	B4U62_01315	882
AQZ89124.1	B4U62_01320	1335
AQZ89125.1	B4U62_01325	189
AQZ89126.1	B4U62_01330	249
AQZ89127.1	B4U62_01335	918
AQZ92993.1	B4U62_01340	1251
AQZ89128.1	B4U62_01345	285
AQZ89129.1	B4U62_01350	912
AQZ89130.1	B4U62_01355	2199
AQZ89131.1	B4U62_01360	921
AQZ89132.1	B4U62_01365	828
AQZ89133.1	B4U62_01370	1155
AQZ89134.1	B4U62_01375	942
AQZ89135.1	B4U62_01380	399
AQZ89136.1	B4U62_01385	891
AQZ89137.1	B4U62_01390	534
AQZ89138.1	B4U62_01395	489
AQZ89139.1	B4U62_01400	792
AQZ89140.1	B4U62_01405	279
AQZ89141.1	B4U62_01410	1341
AQZ89142.1	B4U62_01415	888
AQZ89143.1	B4U62_01420	969
AQZ89144.1	B4U62_01425	1245
AQZ89145.1	B4U62_01430	1896
AQZ89146.1	B4U62_01435	750
AQZ89147.1	B4U62_01440	708
AQZ89148.1	B4U62_01445	276
AQZ89149.1	B4U62_01450	1071
AQZ89150.1	B4U62_01455	1413
AQZ89151.1	B4U62_01460	948
AQZ89152.1	B4U62_01465	114
AQZ89153.1	B4U62_01470	1437
AQZ89154.1	B4U62_01475	984
AQZ92994.1	B4U62_01480	1233
AQZ89155.1	B4U62_01485	945
AQZ89156.1	B4U62_01490	189
AQZ89157.1	B4U62_01495	927
AQZ89158.1	B4U62_01500	1467
AQZ89159.1	B4U62_01505	1368
AQZ89160.1	B4U62_01510	1368
AQZ89161.1	B4U62_01515	702
AQZ89162.1	B4U62_01520	1533
AQZ89163.1	B4U62_01525	921
AQZ89164.1	B4U62_01530	162
AQZ89165.1	B4U62_01535	939
AQZ89166.1	B4U62_01540	681
AQZ89167.1	B4U62_01545	936
AQZ89168.1	B4U62_01550	924
AQZ92995.1	B4U62_01555	687
AQZ89169.1	B4U62_01560	387
AQZ89170.1	B4U62_01565	429
AQZ92996.1	B4U62_01570	732
AQZ89171.1	B4U62_01575	177
AQZ89172.1	B4U62_01580	1752
AQZ89173.1	B4U62_01585	213
AQZ89174.1	B4U62_01590	729
AQZ89175.1	B4U62_01595	648
AQZ89176.1	B4U62_01600	1113
AQZ89177.1	B4U62_01605	1440
AQZ89178.1	B4U62_01610	567
AQZ89179.1	B4U62_01615	1128
AQZ89180.1	B4U62_01620	639
AQZ89181.1	B4U62_01625	384
AQZ89182.1	B4U62_01630	1077
AQZ89183.1	B4U62_01635	957
AQZ89184.1	B4U62_01640	702
AQZ89185.1	B4U62_01645	741
AQZ89186.1	B4U62_01650	1161
AQZ89187.1	B4U62_01655	933
AQZ89188.1	B4U62_01660	1065
AQZ89189.1	B4U62_01665	1419
AQZ92997.1	B4U62_01675	1362
AQZ89190.1	B4U62_01680	504
AQZ89191.1	B4U62_01685	1122
AQZ89192.1	B4U62_01690	777
AQZ89193.1	B4U62_01695	1686
AQZ89194.1	B4U62_01700	960
AQZ89195.1	B4U62_01705	696
AQZ89196.1	B4U62_01710	843
AQZ89197.1	B4U62_01715	996
AQZ89198.1	B4U62_01725	582
AQZ89199.1	B4U62_01730	579
AQZ89200.1	B4U62_01735	774
AQZ89201.1	B4U62_01740	1614
AQZ89202.1	B4U62_01745	1092
AQZ89203.1	B4U62_01750	1203
AQZ89204.1	B4U62_01760	1173
AQZ89205.1	B4U62_01765	303
AQZ89206.1	B4U62_01770	1257
AQZ89207.1	B4U62_01775	849
AQZ89208.1	B4U62_01780	882
AQZ89209.1	B4U62_01785	1152
AQZ89210.1	B4U62_01790	1434
AQZ89211.1	B4U62_01795	582
AQZ89212.1	B4U62_01800	1980
AQZ89213.1	B4U62_01805	966
AQZ89214.1	B4U62_01810	1626
AQZ89215.1	B4U62_01815	1539
AQZ89216.1	B4U62_01820	465
AQZ89217.1	B4U62_01825	630
AQZ89218.1	B4U62_01830	762
AQZ89219.1	B4U62_01835	1341
AQZ89220.1	B4U62_01840	597
AQZ89221.1	B4U62_01845	819
AQZ92998.1	B4U62_01850	594
AQZ89222.1	B4U62_01855	186
AQZ89223.1	B4U62_01860	561
AQZ89224.1	B4U62_01865	762
AQZ89225.1	B4U62_01870	975
AQZ89226.1	B4U62_01875	957
AQZ89227.1	B4U62_01880	783
AQZ92999.1	B4U62_01885	912
AQZ89228.1	B4U62_01890	1548
AQZ89229.2	B4U62_01895	1422
AQZ89230.1	B4U62_01900	1236
AQZ89231.1	B4U62_01905	858
AQZ89232.1	B4U62_01910	885
AQZ89233.1	B4U62_01915	855
AQZ89234.1	B4U62_01920	1011
AQZ89235.1	B4U62_01925	1452
AQZ89236.1	B4U62_01930	321
AQZ89237.1	B4U62_01935	2418
AQZ89238.1	B4U62_01940	2133
AQZ89239.1	B4U62_01945	2316
AQZ89240.1	B4U62_01950	1206
AQZ89241.1	B4U62_01955	915
AQZ89242.1	B4U62_01960	585
AQZ89243.1	B4U62_01965	186
AQZ89244.1	B4U62_01970	1194
AQZ89245.1	B4U62_01975	681
AQZ89246.1	B4U62_01980	864
AQZ89247.1	B4U62_01985	456
AQZ89248.1	B4U62_01990	333
AQZ89249.1	B4U62_01995	1434
AQZ89250.1	B4U62_02000	399
AQZ93000.1	B4U62_02005	444
AQZ89251.1	B4U62_02010	1722
AQZ89252.1	B4U62_02015	558
AQZ89253.1	B4U62_02020	633
AQZ89254.1	B4U62_02025	363
AQZ89255.1	B4U62_02030	10764
AQZ89256.1	B4U62_02035	10752
AQZ89257.1	B4U62_02040	3828
AQZ89258.1	B4U62_02045	729
AQZ89259.1	B4U62_02050	1227
AQZ89260.1	B4U62_02055	558
AQZ89261.1	B4U62_02060	939
AQZ89262.1	B4U62_02065	1335
AQZ89263.1	B4U62_02070	675
AQZ89264.1	B4U62_02075	648
AQZ89265.1	B4U62_02080	744
AQZ89266.1	B4U62_02085	705
AQZ89267.1	B4U62_02090	807
AQZ89268.1	B4U62_02095	873
AQZ89269.1	B4U62_02100	615
AQZ89270.1	B4U62_02105	1422
AQZ89271.1	B4U62_02110	228
AQZ89272.1	B4U62_02115	465
AQZ89273.1	B4U62_02120	846
AQZ89274.1	B4U62_02125	1479
AQZ89275.1	B4U62_02130	1755
AQZ89276.1	B4U62_02135	222
AQZ89277.1	B4U62_02140	1635
AQZ89278.1	B4U62_02145	1224
AQZ89279.1	B4U62_02150	1122
AQZ89280.1	B4U62_02155	681
AQZ89281.1	B4U62_02160	1461
AQZ89282.1	B4U62_02165	684
AQZ89283.1	B4U62_02170	1422
AQZ89284.1	B4U62_02175	1149
AQZ89285.1	B4U62_02180	123
AQZ89286.1	B4U62_02185	90
AQZ89287.1	B4U62_02190	114
AQZ89288.1	B4U62_02195	1365
AQZ89289.1	B4U62_02200	951
AQZ89290.1	B4U62_02205	948
AQZ89291.1	B4U62_02210	759
AQZ89292.1	B4U62_02215	954
AQZ89293.1	B4U62_02220	1419
AQZ93001.1	B4U62_02225	879
AQZ89294.1	B4U62_02230	750
AQZ89295.1	B4U62_02235	288
AQZ89296.1	B4U62_02240	315
AQZ89297.1	B4U62_02245	1440
AQZ89298.1	B4U62_02250	1311
AQZ93002.1	B4U62_02255	1389
AQZ89299.1	B4U62_02260	864
AQZ89300.1	B4U62_02265	786
AQZ89301.1	B4U62_02270	615
AQZ89302.1	B4U62_02275	1626
AQZ89303.1	B4U62_02280	573
AQZ89304.1	B4U62_02285	354
AQZ89305.1	B4U62_02290	1437
AQZ89306.1	B4U62_02295	432
AQZ89307.1	B4U62_02300	1122
AQZ89308.1	B4U62_02305	1065
AQZ89309.1	B4U62_02310	564
AQZ89310.1	B4U62_02315	609
AQZ89311.1	B4U62_02320	393
AQZ89312.1	B4U62_02325	165
AQZ89313.1	B4U62_02330	750
AQZ89314.1	B4U62_02335	774
AQZ89315.1	B4U62_02340	1215
AQZ93003.1	B4U62_02345	774
AQZ89316.1	B4U62_02350	723
AQZ93004.1	B4U62_02355	1008
AQZ89317.1	B4U62_02360	753
AQZ89318.1	B4U62_02365	642
AQZ89319.1	B4U62_02370	246
AQZ89320.1	B4U62_02375	288
AQZ89321.1	B4U62_02380	2007
AQZ89322.1	B4U62_02385	903
AQZ89323.1	B4U62_02390	2085
AQZ89324.1	B4U62_02395	1512
AQZ93005.1	B4U62_02400	546
AQZ89325.1	B4U62_02405	861
AQZ89326.1	B4U62_02410	504
AQZ89327.1	B4U62_02415	552
AQZ89328.1	B4U62_02420	423
AQZ89329.1	B4U62_02425	810
AQZ89330.1	B4U62_02430	291
AQZ89331.1	B4U62_02435	435
AQZ89332.1	B4U62_02440	2184
AQZ89333.1	B4U62_02445	1089
AQZ89334.1	B4U62_02450	852
AQZ93006.1	B4U62_02455	1710
AQZ89335.1	B4U62_02460	1263
AQZ89336.1	B4U62_02465	2112
AQZ89337.1	B4U62_02470	1824
AQZ89338.1	B4U62_02475	450
AQZ89339.1	B4U62_02480	1725
AQZ89340.1	B4U62_02490	267
AQZ89341.1	B4U62_02495	1278
AQZ93007.1	B4U62_02500	258
AQZ89342.1	B4U62_02505	453
AQZ89343.1	B4U62_02510	819
AQZ89344.1	B4U62_02515	372
AQZ89345.1	B4U62_02520	342
AQZ89346.1	B4U62_02525	360
AQZ89347.1	B4U62_02530	822
AQZ89348.1	B4U62_02535	1053
AQZ89349.1	B4U62_02540	1608
AQZ89350.1	B4U62_02545	681
AQZ89351.1	B4U62_02550	1266
AQZ89352.1	B4U62_02555	1053
AQZ89353.1	B4U62_02560	927
AQZ89354.2	B4U62_02565	741
AQZ89355.1	B4U62_02570	336
AQZ89356.1	B4U62_02575	1146
AQZ89357.1	B4U62_02580	180
AQZ89358.1	B4U62_02585	165
AQZ89359.1	B4U62_02590	873
AQZ89360.1	B4U62_02595	321
AQZ89361.2	B4U62_02600	1065
AQZ93008.1	B4U62_02605	1374
AQZ89362.1	B4U62_02615	1536
AQZ89363.1	B4U62_02620	480
AQZ89364.1	B4U62_02625	1482
AQZ89365.1	B4U62_02630	600
AQZ89366.1	B4U62_02635	366
AQZ93009.1	B4U62_02640	1017
AQZ89367.1	B4U62_02645	1170
AQZ89368.1	B4U62_02650	282
AQZ89369.1	B4U62_02655	351
AQZ89370.1	B4U62_02660	825
AQZ89371.1	B4U62_02665	366
AQZ89372.1	B4U62_02670	402
AQZ89373.1	B4U62_02675	1008
AQZ89374.1	B4U62_02680	330
AQZ89375.1	B4U62_02685	483
AQZ89376.1	B4U62_02690	789
AQZ89377.1	B4U62_02695	600
AQZ93010.1	B4U62_02705	294
AQZ89378.1	B4U62_02710	441
AQZ89379.1	B4U62_02715	444
AQZ89380.1	B4U62_02720	2160
AQZ89381.1	B4U62_02725	453
AQZ89382.1	B4U62_02765	1107
AQZ89383.1	B4U62_02770	510
AQZ89384.1	B4U62_02775	384
