protein_id	PS
AQZ89256.1	1
AQZ90605.1	1
AQZ90603.1	1
AQZ93062.1	1
AQZ89255.1	1
AQZ90720.1	1
AQZ90604.1	1
AQZ92683.1	2
AQZ92771.1	1
AQZ92839.1	2
AQZ90091.1	11
AQZ90715.1	1
AQZ89979.1	1
AQZ90078.1	1
AQZ91342.1	2
AQZ90396.1	1
AQZ89187.1	1
AQZ89026.1	1
AQZ90912.1	12
AQZ89734.1	1
AQZ90933.1	2
AQZ89720.1	1
AQZ89696.1	1
AQZ89507.1	9
AQZ92829.1	15
AQZ92857.1	1
AQZ91265.1	1
AQZ89434.1	1
AQZ90914.1	11
AQZ89762.1	5
AQZ89861.1	1
AQZ89619.1	1
AQZ89788.1	1
AQZ91688.1	1
AQZ90606.1	1
AQZ90027.1	1
AQZ90472.1	2
AQZ92275.1	1
AQZ89487.1	2
AQZ89930.1	1
AQZ91244.1	1
AQZ90555.1	1
AQZ92873.1	1
AQZ90767.1	2
AQZ91120.1	1
AQZ90677.1	1
AQZ90781.1	1
AQZ92166.1	10
AQZ93072.1	2
AQZ92184.1	12
AQZ93227.1	2
AQZ90575.1	4
AQZ93214.1	1
AQZ93108.1	1
AQZ90184.1	2
AQZ90228.1	10
AQZ92428.1	1
AQZ92755.1	1
AQZ89657.1	5
AQZ93201.1	3
AQZ93162.1	5
AQZ93127.1	2
AQZ89813.1	4
AQZ91008.1	5
AQZ93099.1	1
AQZ89700.1	1
AQZ90917.1	19
AQZ89516.1	2
AQZ92416.1	2
AQZ91273.1	1
AQZ92013.1	1
AQZ91508.1	3
AQZ90297.1	1
AQZ91465.1	1
AQZ88975.1	6
AQZ89691.1	1
AQZ92486.1	1
AQZ92728.1	2
AQZ91730.1	3
AQZ91291.1	2
AQZ93166.1	7
AQZ91119.1	2
AQZ91125.1	2
AQZ92301.1	1
AQZ91666.1	1
AQZ89298.1	1
AQZ92799.1	11
AQZ89088.1	2
AQZ90557.1	1
AQZ92563.1	2
AQZ90206.1	1
AQZ92065.1	5
AQZ89164.1	4
AQZ90453.1	1
AQZ92384.1	1
AQZ92889.1	2
AQZ93126.1	1
AQZ89012.1	2
AQZ92599.1	8
AQZ89990.1	1
AQZ90264.1	2
AQZ89895.1	9
AQZ90146.1	12
AQZ93038.1	2
AQZ92939.1	1
AQZ93086.1	11
AQZ89776.1	5
AQZ90342.1	1
AQZ90807.1	2
AQZ93094.1	1
AQZ89575.1	1
AQZ90984.1	8
AQZ89152.1	14
AQZ90975.1	12
AQZ89222.1	13
AQZ89277.1	4
AQZ90471.1	2
AQZ89681.1	2
AQZ92929.1	2
AQZ91808.1	1
AQZ90573.1	1
AQZ92060.1	1
AQZ91591.1	1
AQZ92838.1	3
AQZ89440.1	1
AQZ91798.1	1
AQZ91639.1	4
AQZ91557.1	1
AQZ91081.1	1
AQZ92359.1	3
AQZ92625.1	11
AQZ91725.1	1
AQZ93226.1	1
AQZ89874.1	4
AQZ91443.1	2
AQZ92957.1	2
AQZ90332.1	1
AQZ90893.1	4
AQZ91693.1	2
AQZ90359.1	6
AQZ91304.1	1
AQZ91903.1	2
AQZ92885.1	1
AQZ92796.1	5
AQZ91365.1	1
