gene_id	PS
pgi|0000000000535026251|ti|535026|pi|0|	5
pgi|0000000005350261846|ti|535026|pi|0|	11
pgi|0000000005350261749|ti|535026|pi|0|	11
pgi|0000000005350263914|ti|535026|pi|0|	15
pgi|0000000000535026227|ti|535026|pi|0|	9
pgi|0000000005350262062|ti|535026|pi|0|	5
pgi|0000000000535026261|ti|535026|pi|0|	1
pgi|0000000000535026589|ti|535026|pi|0|	1
pgi|0000000005350261173|ti|535026|pi|0|	12
pgi|0000000005350263875|ti|535026|pi|0|	12
pgi|0000000005350263874|ti|535026|pi|0|	12
pgi|0000000005350261110|ti|535026|pi|0|	1
pgi|0000000005350263566|ti|535026|pi|0|	5
pgi|0000000005350261869|ti|535026|pi|0|	2
pgi|0000000000535026849|ti|535026|pi|0|	5
pgi|0000000000535026488|ti|535026|pi|0|	8
pgi|0000000005350262865|ti|535026|pi|0|	11
pgi|0000000005350263448|ti|535026|pi|0|	1
pgi|0000000005350261949|ti|535026|pi|0|	10
pgi|0000000005350262900|ti|535026|pi|0|	5
pgi|0000000005350262783|ti|535026|pi|0|	1
pgi|0000000005350264176|ti|535026|pi|0|	5
pgi|0000000000535026873|ti|535026|pi|0|	8
pgi|0000000005350261314|ti|535026|pi|0|	8
pgi|0000000005350263097|ti|535026|pi|0|	8
pgi|0000000005350262172|ti|535026|pi|0|	4
pgi|0000000005350263193|ti|535026|pi|0|	4
pgi|0000000005350261286|ti|535026|pi|0|	5
pgi|0000000005350262070|ti|535026|pi|0|	12
pgi|0000000005350264137|ti|535026|pi|0|	9
pgi|0000000005350262593|ti|535026|pi|0|	2
pgi|0000000005350263527|ti|535026|pi|0|	21
pgi|0000000005350264295|ti|535026|pi|0|	5
pgi|0000000005350262019|ti|535026|pi|0|	5
pgi|0000000005350263321|ti|535026|pi|0|	1
pgi|0000000005350261904|ti|535026|pi|0|	1
pgi|0000000005350263403|ti|535026|pi|0|	9
pgi|0000000000535026636|ti|535026|pi|0|	1
pgi|0000000005350263153|ti|535026|pi|0|	5
pgi|0000000005350264250|ti|535026|pi|0|	2
pgi|0000000005350264249|ti|535026|pi|0|	2
pgi|0000000000053502654|ti|535026|pi|0|	4
pgi|0000000005350262015|ti|535026|pi|0|	12
pgi|0000000005350262415|ti|535026|pi|0|	4
pgi|0000000005350261706|ti|535026|pi|0|	9
pgi|0000000005350263061|ti|535026|pi|0|	1
pgi|0000000005350263192|ti|535026|pi|0|	1
pgi|0000000005350262787|ti|535026|pi|0|	1
pgi|0000000000535026669|ti|535026|pi|0|	4
pgi|0000000005350262508|ti|535026|pi|0|	4
pgi|0000000005350262458|ti|535026|pi|0|	7
pgi|0000000005350262407|ti|535026|pi|0|	1
pgi|0000000005350262360|ti|535026|pi|0|	2
pgi|0000000005350262714|ti|535026|pi|0|	4
pgi|0000000000535026634|ti|535026|pi|0|	1
pgi|0000000000535026633|ti|535026|pi|0|	1
pgi|0000000000535026220|ti|535026|pi|0|	1
pgi|0000000005350262322|ti|535026|pi|0|	4
pgi|0000000000535026999|ti|535026|pi|0|	1
pgi|0000000005350261113|ti|535026|pi|0|	1
pgi|0000000005350261613|ti|535026|pi|0|	2
pgi|0000000005350261583|ti|535026|pi|0|	2
pgi|0000000000053502684|ti|535026|pi|0|	2
pgi|0000000005350264253|ti|535026|pi|0|	7
pgi|0000000005350264143|ti|535026|pi|0|	2
pgi|0000000005350263259|ti|535026|pi|0|	5
pgi|0000000005350263642|ti|535026|pi|0|	11
pgi|0000000005350263581|ti|535026|pi|0|	8
pgi|0000000005350263490|ti|535026|pi|0|	1
pgi|0000000005350261557|ti|535026|pi|0|	1
pgi|0000000005350261222|ti|535026|pi|0|	11
pgi|0000000005350261974|ti|535026|pi|0|	12
pgi|0000000005350263567|ti|535026|pi|0|	1
pgi|0000000005350261275|ti|535026|pi|0|	1
pgi|0000000000053502626|ti|535026|pi|0|	1
pgi|0000000000535026289|ti|535026|pi|0|	1
pgi|0000000000535026650|ti|535026|pi|0|	2
pgi|0000000005350263063|ti|535026|pi|0|	1
pgi|0000000000535026655|ti|535026|pi|0|	1
pgi|0000000005350262806|ti|535026|pi|0|	1
pgi|0000000005350264168|ti|535026|pi|0|	2
pgi|0000000000535026565|ti|535026|pi|0|	8
pgi|0000000005350263242|ti|535026|pi|0|	11
pgi|0000000000535026120|ti|535026|pi|0|	1
pgi|0000000000535026483|ti|535026|pi|0|	7
pgi|0000000005350263121|ti|535026|pi|0|	1
pgi|0000000005350261023|ti|535026|pi|0|	4
pgi|0000000005350261849|ti|535026|pi|0|	12
pgi|0000000005350262045|ti|535026|pi|0|	12
pgi|0000000005350262265|ti|535026|pi|0|	4
pgi|0000000005350264144|ti|535026|pi|0|	2
pgi|0000000005350263888|ti|535026|pi|0|	4
pgi|0000000005350261461|ti|535026|pi|0|	5
pgi|0000000000535026478|ti|535026|pi|0|	11
pgi|0000000000535026479|ti|535026|pi|0|	11
pgi|0000000005350262324|ti|535026|pi|0|	4
