protein_id_3610	PS	assembly_3610	seq_type_3610	chromosome_3610	genomic_accession_3610	start_3610	end_3610	strand_3610	name_3610	symbol_3610	locus_tag_3610	feature_interval_length_3610	product_length_3610	protein_id_168	assembly_168	seq_type_168	chromosome_168	genomic_accession_168	start_168	end_168	strand_168	name_168	symbol_168	locus_tag_168	feature_interval_length_168	product_length_168	symbol_168	category	syn_name	synonyms	operons
AQZ92400.1	1	GCA_002055965.1	chromosome		CP020102.1	3622368	3623810	-	carboxy-terminal processing protease CtpB	ctpB	B4U62_18985	1443	480	CAB15541.1	GCA_000009045.1	chromosome	NA	AL009126.3	3622356	3623798	-	PDZ-containing carboxyl-terminal protease processing protease [Zn(II)]	ctpB	BSU_35240	1443	480	ctpB	Information processing#Protein synthesis, modification and degradation#Proteolysis#Additional proteins involved in proteolysis;Information processing#Regulation of gene expression#Sigma factors and their control#Control of sigma factors;Lifestyles#Sporulation#Sporulation proteins#Sporulation proteins/ other	ctpB	ctpB;yvjB	ctpB
AQZ91039.1	4	GCA_002055965.1	chromosome		CP020102.1	2256094	2256852	+	phage tail protein	yomH	B4U62_11620	759	252	CAB14054.1	GCA_000009045.1	chromosome	NA	AL009126.3	2256062	2256820	+	"conserved protein of unknown function; phage SPbeta"	yomH	BSU_21360	759	252	yomH	Prophages and mobile genetic elements#Prophages#SP-beta prophage	yomH	yomH	NA
AQZ89123.1	1	GCA_002055965.1	chromosome		CP020102.1	233058	233939	-	glycerophosphodiester phosphodiesterase	glpQ	B4U62_01315	882	293	CAB12007.1	GCA_000009045.1	chromosome	NA	AL009126.3	233014	233895	-	secreted glycerophosphoryl diester phosphodiesterase	glpQA	BSU_02130	882	293	glpQ	Metabolism#Carbon metabolism#Utilization of specific carbon sources#Utilization of glycerol/ glycerol-3-phosphate;Metabolism#Lipid metabolism#Utilization of lipids#Utilization of phospholipids;Groups of genes#Secreted proteins	glpQ	glpQ;ybeD	glpT→glpQ, glpQ
AQZ90017.1	1	GCA_002055965.1	chromosome		CP020102.1	1200413	1203505	+	carbamoyl-phosphate synthase arginine-specific large chain	carB	B4U62_06235	3093	1030	CAB12965.3	GCA_000009045.1	chromosome	NA	AL009126.3	1200381	1203473	+	arginine-specific carbamoyl-phosphate synthetase (large subunit)	carB	BSU_11240	3093	1030	carB	Metabolism#Amino acid/ nitrogen metabolism#Biosynthesis/ acquisition of amino acids#Biosynthesis/ acquisition of arginine	carB	carB	argC→argF
AQZ92007.1	1	GCA_002055965.1	chromosome		CP020102.1	3204083	3206071	-	methyl-accepting chemotaxis protein TlpB	tlpB	B4U62_16890	1989	662	CAB15101.1	GCA_000009045.1	chromosome	NA	AL009126.3	3204067	3206055	-	methyl-accepting chemotaxis protein	tlpB	BSU_31230	1989	662	tlpB	Lifestyles#Exponential and early post-exponential lifestyles#Motility and chemotaxis#Signal transduction in motility and chemotaxis#Membrane-bound chemoreceptors;Groups of genes#Membrane proteins	tlpB	tlpB	tlpB
AQZ90922.1	9	GCA_002055965.1	chromosome		CP020102.1	2170803	2171168	-	hypothetical protein	yorW	B4U62_11030	366	121	CAB13915.1	GCA_000009045.1	chromosome	NA	AL009126.3	2170771	2171136	-	"conserved hypothetical protein; phage SPbeta"	yorW	BSU_20230	366	121	yorW	Prophages and mobile genetic elements#Prophages#SP-beta prophage	yorW	yorW	NA
AQZ91035.1	9	GCA_002055965.1	chromosome		CP020102.1	2247399	2247575	-	hypothetical protein	youB	B4U62_11600	177	58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AQZ90920.1	9	GCA_002055965.1	chromosome		CP020102.1	2170341	2170523	-	hypothetical protein	yorY	B4U62_11020	183	60	CAB13913.1	GCA_000009045.1	chromosome	NA	AL009126.3	2170309	2170491	-	"putative nucleotide binding protein; phage SPbeta"	yorY	BSU_20210	183	60	yorY	Prophages and mobile genetic elements#Prophages#SP-beta prophage	yorY	yorY	NA
AQZ91043.1	3	GCA_002055965.1	chromosome		CP020102.1	2262469	2263293	+	hypothetical protein	yomD	B4U62_11640	825	274	CAB14058.1	GCA_000009045.1	chromosome	NA	AL009126.3	2262437	2263261	+	"conserved protein of unknown function; phage SPbeta"	yomD	BSU_21400	825	274	yomD	Prophages and mobile genetic elements#Prophages#SP-beta prophage	yomD	yomD	NA
AQZ91207.1	1	GCA_002055965.1	chromosome		CP020102.1	2412730	2413497	-	3-dehydroquinase	aroD	B4U62_12515	768	255	CAB14240.1	GCA_000009045.1	chromosome	NA	AL009126.3	2412706	2413473	-	3-dehydroquinate dehydratase	aroC	BSU_23080	768	255	aroC	Metabolism#Amino acid/ nitrogen metabolism#Biosynthesis/ acquisition of amino acids#Biosynthesis/ acquisition of aromatic amino acids	aroC	aroC	aroC
AQZ90643.1	1	GCA_002055965.1	chromosome		CP020102.1	1888806	1890407	+	glycoside hydrolase 43 family protein	xynB	B4U62_09555	1602	533	CAB13642.2	GCA_000009045.1	chromosome	NA	AL009126.3	1888774	1890375	+	xylan beta-1,4-xylosidase	xynB	BSU_17580	1602	533	xynB	Metabolism#Carbon metabolism#Utilization of specific carbon sources#Utilization of xylan/ xylose	xynB	xynB;ynaK	xynP→xynB
AQZ92313.1	1	GCA_002055965.1	chromosome		CP020102.1	3526421	3528217	-	polysaccharide biosynthesis protein EpsC	epsC	B4U62_18525	1797	598	CAB15440.1	GCA_000009045.1	chromosome	NA	AL009126.3	3526407	3528203	-	putative UDP-sugar epimerase involved in biofilm matrix formation	epsC	BSU_34350	1797	598	epsC	Lifestyles#Exponential and early post-exponential lifestyles#Biofilm formation;Lifestyles#Exponential and early post-exponential lifestyles#Biofilm formation#Matrix polysaccharide synthesis;Groups of genes#Membrane proteins	epsC	epsC;yveM	epsA→epsO
AQZ92392.1	1	GCA_002055965.1	chromosome		CP020102.1	3610077	3612950	-	excinuclease ABC subunit A	uvrA	B4U62_18945	2874	957	CAB15533.1	GCA_000009045.1	chromosome	NA	AL009126.3	3610064	3612937	-	excinuclease ABC (subunit A)	uvrA	BSU_35160	2874	957	uvrA	Information processing#Genetics#DNA repair/ recombination;Information processing#Genetics#DNA repair/ recombination#Other proteins	uvrA	uvrA	uvrB→uvrA
AQZ91262.1	1	GCA_002055965.1	chromosome		CP020102.1	2460688	2461605	+	alpha/beta hydrolase	yqkD	B4U62_12820	918	305	CAB14296.1	GCA_000009045.1	chromosome	NA	AL009126.3	2460664	2461581	+	putative hydrolase	yqkD	BSU_23640	918	305	yqkD	Groups of genes#Proteins of unknown function	yqkD	yqkD	yqkD
AQZ92982.1	1	GCA_002055965.1	chromosome		CP020102.1	4207936	4208787	-	nucleoid occlusion protein	noc	B4U62_22060	852	283	CAB16136.1	GCA_000009045.1	chromosome	NA	AL009126.3	4207897	4208748	-	DNA-binding protein Spo0J-like	nocA	BSU_40990	852	283	noc	Cellular processes#Cell envelope and cell division#Cell division#Other genes;Groups of genes#Membrane proteins	noc	noc;yyaA	thdF→noc
AQZ92745.1	4	GCA_002055965.1	chromosome		CP020102.1	3969835	3970041	-	regulator	yxlD	B4U62_20810	207	68	CAB15894.1	GCA_000009045.1	chromosome	NA	AL009126.3	3969796	3970002	-	putative sigma-Y antisigma factor component	yxlD	BSU_38680	207	68	yxlD	Information processing#Regulation of gene expression#Sigma factors and their control#Control of sigma factors;Lifestyles#Coping with stress#Cell envelope stress proteins (controlled by SigM, V, W, X, Y)	yxlD	yxlD	sigY→yxlG
AQZ91619.1	1	GCA_002055965.1	chromosome		CP020102.1	2787864	2788505	-	methyltransferase	yrrT	B4U62_14725	642	213	CAB14670.1	GCA_000009045.1	chromosome	NA	AL009126.3	2787846	2788487	-	putative AdoMet-dependent methyltransferase	yrrT	BSU_27280	642	213	yrrT	Groups of genes#Poorly characterized/ putative enzymes	yrrT	yrrT	yrrT→yrhC
AQZ92815.1	1	GCA_002055965.1	chromosome		CP020102.1	4047576	4049003	+	amino acid permease	hutM	B4U62_21175	1428	475	CAB15975.2	GCA_000009045.1	chromosome	NA	AL009126.3	4047538	4048965	+	histidine degradation metabolites permease	hutM	BSU_39390	1428	475	hutM	Cellular processes#Transporters#Transporters/ other#Amino acid transporters#Other amino acid transporters;Metabolism#Amino acid/ nitrogen metabolism#Biosynthesis/ acquisition of amino acids#Biosynthesis/ acquisition of histidine;Metabolism#Amino acid/ nitrogen metabolism#Utilization of amino acids#Utilization of histidine;Groups of genes#Membrane proteins	hutM	hutM	hutP→hutM
AQZ90877.1	8	GCA_002055965.1	chromosome		CP020102.1	2148199	2148504	-	protein CgeC	cgeC	B4U62_10790	306	101	CAB13868.1	GCA_000009045.1	chromosome	NA	AL009126.3	2148166	2148471	-	protein involved in maturation of the outermost layer of the spore	cgeC	BSU_19770	306	101	cgeC	Lifestyles#Sporulation#Sporulation proteins#Spore coat proteins#Not yet assigned	cgeC	cgeC;cgeBA	cgeC→cgeE
AQZ91435.1	1	GCA_002055965.1	chromosome		CP020102.1	2627992	2628555	-	nucleotide exchange factor GrpE	grpE	B4U62_13755	564	187	CAB14490.1	GCA_000009045.1	chromosome	NA	AL009126.3	2627971	2628534	-	nucleotide exchange factor for DnaK activity	grpE	BSU_25480	564	187	grpE	Information processing#Protein synthesis, modification and degradation#Chaperones/ protein folding;Lifestyles#Coping with stress#Heat shock proteins	grpE	grpE	hrcA→yqeV
AQZ92339.1	1	GCA_002055965.1	chromosome		CP020102.1	3554567	3555820	-	maltodextrin-binding protein MdxE	mdxE	B4U62_18665	1254	417	CAB15466.1	GCA_000009045.1	chromosome	NA	AL009126.3	3554553	3555806	-	maltose/maltodextrin-binding lipoprotein	mdxE	BSU_34610	1254	417	mdxE	Cellular processes#Transporters#ABC transporters#Importers#Uptake of carbon sources;Metabolism#Carbon metabolism#Utilization of specific carbon sources#Utilization of starch/ maltodextrin;Groups of genes#Membrane proteins	mdxE	mdxE;yvdG	yvdE→pgcM
AQZ90852.1	2	GCA_002055965.1	chromosome		CP020102.1	2130210	2130410	+	hypothetical protein	yoyD	B4U62_10665	201	66	CAX52639.1	GCA_000009045.1	chromosome	NA	AL009126.3	2130177	2130377	+	putative exported protein	yoyD	BSU_19579	201	66	yoyD	Groups of genes#Proteins of unknown function	yoyD	yoyD	yoyD→yodF
AQZ91584.1	2	GCA_002055965.1	chromosome		CP020102.1	2751310	2751744	-	hypothetical protein	yraI	B4U62_14545	435	144	CAB14634.2	GCA_000009045.1	chromosome	NA	AL009126.3	2751292	2751651	-	conserved protein of unknown function	yraI	BSU_26930	360	119	yraI	Groups of genes#Proteins of unknown function	yraI	yraI	yraI→yraJ
